Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Alexander Callens,NYC,D,3400,360,0,0,1,1,0,0,184,2,4,3,3,3,0.3,0,,,
Alexander Ring,NYC,M,8000,398,1,3,8,2,5,7,159,5,12,6,3,1,1.1,0.7,,,
Alexandru Mitrita,NYC,M,10800,264,4,0,11,6,1,7,77,13,2,5,0,0,1,0.4,,,
Anton Tinnerholm,NYC,D,9800,386,3,1,5,3,10,9,199,6,6,3,3,0,0.4,1,,,
Bill Hamid,DC,GK,5200,360,0,0,0,0,0,0,68,0,0,0,0,0,0,0,,,
Chris Odoi-Atsem,DC,D,5000,346,0,0,0,0,9,1,131,3,1,2,2,0,0,0.1,,,
Chris Seitz,DC,GK,5000,90,0,0,0,0,0,0,19,0,0,0,0,0,0,0,,,
Donovan Pines,DC,D,4800,184,0,0,1,0,0,0,120,2,1,4,0,0,0.1,0,,,
Erik Sorga,DC,F,6600,89,0,0,2,1,0,1,26,1,2,1,0,0,0.4,0,,,
Federico Higuain,DC,M,6800,80,0,0,2,2,0,1,65,1,0,0,0,0,0.1,0.1,,,
Frederic Brillant,DC,D,4200,444,0,0,3,0,0,0,244,2,4,4,4,1,0.1,0,,,
Gary Mackay-Steven,NYC,M,6200,249,0,1,6,3,5,2,52,3,5,4,2,1,0.9,0.7,,,
Gelmin Rivas,DC,F,4400,182,0,0,4,1,0,2,30,1,3,0,1,0,0.2,0.5,,,
Griffin Yow,DC,F,5800,175,1,0,3,3,3,1,42,4,5,3,0,0,0.2,0.3,,,
Gudmundur Thorarinsson,NYC,M,4200,264,0,0,1,0,10,6,142,4,5,4,3,1,0,0.4,,,
Heber,NYC,F,8200,179,0,0,7,4,2,3,39,0,4,0,0,0,0.9,0.2,,,
Ismael Tajouri-Shradi,NYC,M/F,10400,142,0,1,3,1,3,6,61,1,3,1,1,0,0.1,0.4,,,
James Sands,NYC,M,4400,360,0,1,1,0,1,2,211,9,9,4,4,2,0,0.3,,,
Jesus Medina,NYC,M,9600,273,1,0,8,3,3,7,100,6,4,2,1,0,0.3,1,,,
Joseph Mora,DC,D,6000,416,0,0,0,0,8,1,170,1,5,6,3,1,0,0,,,
Joseph Scally,NYC,D,3000,65,0,0,0,0,2,0,32,1,2,0,1,1,0,0,,,
Julian Gressel,DC,M,10000,291,0,0,4,1,2,7,107,2,3,7,2,0,0.5,0.3,,,
Junior Moreno,DC,M,3600,450,0,0,4,0,2,5,309,5,7,4,0,1,0.2,0.2,,,
Keaton Parks,NYC,M,4600,437,0,0,6,3,2,0,201,4,5,9,0,1,0.4,0,,,
Kevin Paredes,DC,M,4600,158,0,0,0,0,2,1,72,8,3,2,1,1,0,0.1,,,
Maxime Chanot,NYC,D,4800,449,0,0,4,0,0,0,185,3,3,7,4,2,0.4,0,,,
Maximiliano Moralez,NYC,M,10200,29,0,0,0,0,1,2,22,1,1,0,2,0,0,0.1,,,
Mohammed Abu,DC,M,3200,135,0,0,0,0,1,2,111,1,3,2,2,0,0,0.1,,,
Moses Nyeman,DC,M,3400,193,0,0,2,0,0,0,99,4,1,5,2,1,0,0,,,
Nicolas Acevedo,NYC,M,3800,81,0,0,0,0,0,0,38,2,2,3,0,1,0,0,,,
Ola Kamara,DC,F,7000,367,1,0,7,3,0,1,75,4,2,1,1,0,1.4,0.1,,,
Oniel Fisher,DC,D,5400,110,0,0,0,0,3,0,44,1,2,2,1,0,0,0,,,
Ronald Matarrita,NYC,D,8600,186,0,0,3,1,3,2,98,1,4,1,2,1,0.1,0,,,
Russell Canouse,DC,M,3600,44,0,0,0,0,0,0,14,1,2,1,1,2,0,0,,,
Sean Johnson,NYC,GK,7800,450,0,0,0,0,0,0,96,0,1,0,0,0,0,0,,,
Sebastien Ibeagha,NYC,D,3800,96,0,0,0,0,0,0,34,1,2,2,1,1,0,0,,,
Steve Birnbaum,DC,D,4000,270,0,0,3,0,0,0,116,2,3,1,1,0,0,0,,,
Tony Rocha,NYC,M,3400,14,0,0,1,1,0,0,1,0,1,0,0,0,0.1,0,,,
Ulises Segura,DC,M,3600,16,0,0,0,0,0,0,5,0,1,0,0,0,0,0,,,
Valentin Castellanos,NYC,M/F,8400,268,0,0,8,2,0,4,52,9,17,3,1,3,0.6,0.2,,,
Yamil Asad,DC,M,5600,345,0,0,4,1,3,3,121,13,7,10,3,1,0.2,0.1,,,
Yordy Reyna,DC,M/F,9400,153,0,0,3,1,0,2,46,6,0,0,0,0,0.1,0.1,,,
